split,source_label,label,tfidf_similarity,keyword_overlap_ratio,education_level_score,experience_gap
train,No Fit,0,0.0811,0.3,1,2.0
train,No Fit,0,0.1136,0.45,1,14.0
train,No Fit,0,0.0832,0.25,-1,2.0
train,No Fit,0,0.0403,0.2,0,13.0
train,No Fit,0,0.09,0.3,0,5.0
train,No Fit,0,0.1056,0.2,0,13.0
train,No Fit,0,0.0174,0.05,1,9.0
train,No Fit,0,0.0509,0.05,1,12.0
train,No Fit,0,0.0734,0.35,1,1.0
train,No Fit,0,0.0851,0.35,0,0.0
train,No Fit,0,0.0263,0.05,-1,10.0
train,No Fit,0,0.116,0.25,2,-5.0
train,No Fit,0,0.0923,0.15,0,1.0
train,No Fit,0,0.0267,0.0,-2,-2.0
train,No Fit,0,0.0615,0.2,0,8.0
train,No Fit,0,0.0702,0.3,0,4.0
train,No Fit,0,0.1003,0.3,1,-3.0
train,No Fit,0,0.025,0.0,0,15.0
train,No Fit,0,0.0332,0.1,1,0.0
train,No Fit,0,0.0369,0.05,0,15.0
train,No Fit,0,0.1829,0.3,0,9.0
train,No Fit,0,0.084,0.15,-1,4.0
train,No Fit,0,0.0645,0.25,0,0.0
train,No Fit,0,0.0641,0.15,-1,0.0
train,No Fit,0,0.2631,0.4,0,5.0
train,No Fit,0,0.0443,0.05,-2,3.0
train,No Fit,0,0.0643,0.1,0,6.0
train,No Fit,0,0.058,0.1,0,0.0
train,No Fit,0,0.0908,0.05,1,12.0
train,No Fit,0,0.1048,0.3,-1,11.0
train,No Fit,0,0.0719,0.45,0,-5.0
train,No Fit,0,0.0247,0.3,-2,4.0
train,No Fit,0,0.1004,0.2,0,-10.0
train,No Fit,0,0.1286,0.5,0,12.0
train,No Fit,0,0.0457,0.3333,-1,11.0
train,No Fit,0,0.0753,0.3,0,16.0
train,No Fit,0,0.0277,0.05,-2,14.0
train,No Fit,0,0.0666,0.2,-2,11.0
train,No Fit,0,0.0132,0.05,1,5.0
train,No Fit,0,0.0678,0.35,0,3.0
train,No Fit,0,0.0516,0.15,1,9.0
train,No Fit,0,0.0687,0.1,0,0.0
train,No Fit,0,0.0441,0.3,0,10.0
train,No Fit,0,0.03,0.15,-1,18.0
train,No Fit,0,0.0895,0.35,1,7.0
train,No Fit,0,0.009,0.0,0,17.0
train,No Fit,0,0.1211,0.45,1,2.0
train,No Fit,0,0.0755,0.1,-1,9.0
train,No Fit,0,0.0807,0.45,0,2.0
train,No Fit,0,0.0769,0.25,-3,-2.0
train,No Fit,0,0.0799,0.25,0,9.0
train,No Fit,0,0.0765,0.2,0,9.0
train,No Fit,0,0.0961,0.35,-1,0.0
train,No Fit,0,0.0927,0.25,0,12.0
train,No Fit,0,0.0829,0.1,-2,12.0
train,No Fit,0,0.0839,0.35,-2,3.0
train,No Fit,0,0.0293,0.15,2,8.0
train,No Fit,0,0.0589,0.1,0,14.0
train,No Fit,0,0.0403,0.1,-2,14.0
train,No Fit,0,0.0876,0.45,0,5.0
train,No Fit,0,0.0238,0.15,0,2.0
train,No Fit,0,0.035,0.15,0,0.0
train,No Fit,0,0.0922,0.2,-1,0.0
train,No Fit,0,0.0747,0.45,0,-1.0
train,No Fit,0,0.0375,0.3571,1,5.0
train,No Fit,0,0.0461,0.15,1,12.0
train,No Fit,0,0.0518,0.1,0,7.0
train,No Fit,0,0.0372,0.35,-2,-3.0
train,No Fit,0,0.1578,0.45,0,10.0
train,No Fit,0,0.0563,0.1,0,9.0
train,No Fit,0,0.0445,0.1,0,15.0
train,No Fit,0,0.1617,0.55,0,0.0
train,No Fit,0,0.0725,0.1,0,5.0
train,No Fit,0,0.0395,0.05,0,15.0
train,No Fit,0,0.0196,0.1,0,0.0
train,No Fit,0,0.0931,0.6,1,7.0
train,No Fit,0,0.0443,0.15,0,9.0
train,No Fit,0,0.0266,0.2,0,13.0
train,No Fit,0,0.0317,0.2,0,1.0
train,No Fit,0,0.0711,0.2,0,10.0
train,No Fit,0,0.0778,0.3,-2,-2.0
train,No Fit,0,0.0631,0.25,0,12.0
train,No Fit,0,0.101,0.2,1,4.0
train,No Fit,0,0.0472,0.35,0,3.0
train,No Fit,0,0.0288,0.1,0,3.0
train,No Fit,0,0.0374,0.1176,-1,6.0
train,No Fit,0,0.0312,0.15,0,12.0
train,No Fit,0,0.0677,0.45,0,-10.0
train,No Fit,0,0.1462,0.25,1,12.0
train,No Fit,0,0.0762,0.2,0,-5.0
train,No Fit,0,0.0719,0.4,0,7.0
train,No Fit,0,0.08,0.4,-2,7.0
train,No Fit,0,0.0485,0.2,1,13.0
train,No Fit,0,0.0576,0.15,-1,10.0
train,No Fit,0,0.1499,0.25,0,9.0
train,No Fit,0,0.0695,0.35,0,12.0
train,No Fit,0,0.1049,0.4,0,7.0
train,No Fit,0,0.0333,0.25,0,12.0
train,No Fit,0,0.0325,0.25,0,5.0
train,No Fit,0,0.0464,0.1,-1,6.0
train,No Fit,0,0.0341,0.05,-1,15.0
train,No Fit,0,0.0339,0.05,1,7.0
train,No Fit,0,0.0729,0.25,-1,7.0
train,No Fit,0,0.0552,0.2,0,7.0
train,No Fit,0,0.0748,0.2,0,6.0
train,No Fit,0,0.0251,0.05,0,14.0
train,No Fit,0,0.0342,0.4,0,10.0
train,No Fit,0,0.063,0.2,0,12.0
train,No Fit,0,0.0564,0.2,0,5.0
train,No Fit,0,0.0,0.0,0,9.0
train,No Fit,0,0.0361,0.25,0,0.0
train,No Fit,0,0.0655,0.15,0,14.0
train,No Fit,0,0.0179,0.05,-2,-6.0
train,No Fit,0,0.0919,0.5,0,2.0
train,No Fit,0,0.0341,0.15,0,5.0
train,No Fit,0,0.0333,0.2,1,11.0
train,No Fit,0,0.0193,0.1429,0,11.0
train,No Fit,0,0.0403,0.15,0,0.0
train,No Fit,0,0.0869,0.15,1,5.0
train,No Fit,0,0.0536,0.25,0,35.0
train,No Fit,0,0.0747,0.15,0,5.0
train,No Fit,0,0.1144,0.35,0,-3.0
train,No Fit,0,0.0381,0.0,0,7.0
train,No Fit,0,0.086,0.45,0,8.0
train,No Fit,0,0.0619,0.15,0,9.0
