split,source_label,label,tfidf_similarity,keyword_overlap_ratio,education_level_score,experience_gap,sbert_score
train,No Fit,0,0.0811,0.3,1,2.0,0.42639446
train,No Fit,0,0.1136,0.45,1,14.0,0.2889544
train,No Fit,0,0.0832,0.25,-1,2.0,0.5044119
train,No Fit,0,0.0403,0.2,0,13.0,0.22697522
train,No Fit,0,0.09,0.3,0,5.0,0.3224218
train,No Fit,0,0.1056,0.2,0,13.0,0.3386261
train,No Fit,0,0.0174,0.05,1,9.0,0.3823133
train,No Fit,0,0.0509,0.05,1,12.0,0.35147977
train,No Fit,0,0.0734,0.35,1,1.0,0.3434507
train,No Fit,0,0.0851,0.35,0,0.0,0.34364015
train,No Fit,0,0.0263,0.05,-1,10.0,0.301567
train,No Fit,0,0.116,0.25,2,-5.0,0.47489202
train,No Fit,0,0.0923,0.15,0,1.0,0.26229966
train,No Fit,0,0.0267,0.0,-2,-2.0,0.15676372
train,No Fit,0,0.0615,0.2,0,8.0,0.25508153
train,No Fit,0,0.0702,0.3,0,4.0,0.23928243
train,No Fit,0,0.1003,0.3,1,-3.0,0.44581753
train,No Fit,0,0.025,0.0,0,15.0,0.23529896
train,No Fit,0,0.0332,0.1,1,0.0,0.34235978
train,No Fit,0,0.0369,0.05,0,15.0,0.29209358
train,No Fit,0,0.1829,0.3,0,9.0,0.22869413
train,No Fit,0,0.084,0.15,-1,4.0,0.30262744
train,No Fit,0,0.0645,0.25,0,0.0,0.19784907
train,No Fit,0,0.0641,0.15,-1,0.0,0.37062365
train,No Fit,0,0.2631,0.4,0,5.0,0.42436236
train,No Fit,0,0.0443,0.05,-2,3.0,0.36761937
train,No Fit,0,0.0643,0.1,0,6.0,0.40723115
train,No Fit,0,0.058,0.1,0,0.0,0.22238705
train,No Fit,0,0.0908,0.05,1,12.0,0.2803825
train,No Fit,0,0.1048,0.3,-1,11.0,0.19451591
train,No Fit,0,0.0719,0.45,0,-5.0,0.339123
train,No Fit,0,0.0247,0.3,-2,4.0,0.26745072
train,No Fit,0,0.1004,0.2,0,-10.0,0.38999057
train,No Fit,0,0.1286,0.5,0,12.0,0.38644326
train,No Fit,0,0.0457,0.3333,-1,11.0,0.121738106
train,No Fit,0,0.0753,0.3,0,16.0,0.23458895
