resume_path,jd_path,category,tfidf_similarity,keyword_overlap_ratio,education_level_score,experience_gap,sentence_level_match,sbert_score,label
resumes/data\ACCOUNTANT\10554236.pdf,jds\ARTS\ARTS_entry.txt,ACCOUNTANT,0.033,0.0,0,2.0,0.1911290138959884,0.0894,0
resumes/data\ACCOUNTANT\10554236.pdf,jds\ARTS\ARTS_mid.txt,ACCOUNTANT,0.0177,0.05,-1,2.0,0.2515929341316223,0.1479,0
resumes/data\ACCOUNTANT\10554236.pdf,jds\ARTS\ARTS_senior.txt,ACCOUNTANT,0.0284,0.2,-2,2.0,0.2672469615936279,0.1456,0
resumes/data\ACCOUNTANT\10674770.pdf,jds\BUSINESS-DEVELOPMENT\BUSINESS-DEVELOPMENT_entry.txt,ACCOUNTANT,0.0626,0.15,0,0.0,0.3913582861423492,0.3071,0
resumes/data\ACCOUNTANT\10674770.pdf,jds\BUSINESS-DEVELOPMENT\BUSINESS-DEVELOPMENT_mid.txt,ACCOUNTANT,0.0643,0.15,-1,-6.0,0.3819423913955688,0.322,0
resumes/data\ACCOUNTANT\11759079.pdf,jds\APPAREL\APPAREL_entry.txt,ACCOUNTANT,0.0261,0.05,0,17.0,0.2217165529727935,0.0946,0
resumes/data\ACCOUNTANT\11759079.pdf,jds\APPAREL\APPAREL_senior.txt,ACCOUNTANT,0.0262,0.0,-1,19.0,0.2412578463554382,0.13,0
resumes/data\ACCOUNTANT\11759079.pdf,jds\APPAREL\APPAREL_mid.txt,ACCOUNTANT,0.0375,0.0,-1,19.0,0.2694964706897735,0.1231,0
resumes/data\ACCOUNTANT\12065211.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2684,0.4,0,21.0,0.4521044492721557,0.5893,1
resumes/data\ACCOUNTANT\12065211.pdf,jds\PUBLIC-RELATIONS\PUBLIC-RELATIONS_entry.txt,ACCOUNTANT,0.0352,0.05,1,19.0,0.2856507897377014,0.2949,0
resumes/data\ACCOUNTANT\12065211.pdf,jds\PUBLIC-RELATIONS\PUBLIC-RELATIONS_mid.txt,ACCOUNTANT,0.0509,0.1,0,21.0,0.3797821402549743,0.3013,0
resumes/data\ACCOUNTANT\12065211.pdf,jds\PUBLIC-RELATIONS\PUBLIC-RELATIONS_senior.txt,ACCOUNTANT,0.0344,0.05,0,21.0,0.2663168609142303,0.2412,0
resumes/data\ACCOUNTANT\12202337.pdf,jds\HEALTHCARE\HEALTHCARE_senior.txt,ACCOUNTANT,0.0848,0.35,0,0.0,0.500926673412323,0.3112,0
resumes/data\ACCOUNTANT\12202337.pdf,jds\HEALTHCARE\HEALTHCARE_mid.txt,ACCOUNTANT,0.0872,0.2,0,0.0,0.4587107300758362,0.2817,0
resumes/data\ACCOUNTANT\12202337.pdf,jds\HEALTHCARE\HEALTHCARE_entry.txt,ACCOUNTANT,0.0628,0.2,1,-2.0,0.436738520860672,0.3011,0
